search_term	db_term	search_field
GC pituitary cell	GC pituitary cell	cell_type
GC-1	GC-1	treatment
GC1	GC-1	treatment
GCSF	G-CSF	treatment
GDNF	GDNF	treatment
GFP negative	cell sorting EGFP-	treatment
GFP positive	cell sorting EGFP+	treatment
GFP+	cell sorting EGFP+	treatment
GFP-	cell sorting EGFP-	treatment
GM-12878	GM12878	cell_type
GM12878	GM12878	cell_type
GRO cap	GRO-cap	protocol
GRO seq	GRO-seq	protocol
GRO-cap	GRO-cap	protocol
GRO-seq	GRO-seq	protocol
GROcap	GRO-cap	protocol
GROseq	GRO-seq	protocol
GSI	gamma-secretase inhibitor	treatment
GSK2879552	GSK2879552	treatment
Gage	Gage	last_author
Galbraith	Galbraith	first_author
Galbraith2013hif1a	Galbraith2013hif1a	paper_name
Gally	Gally	first_author
Gally2020gain	Gally2020gain	paper_name
Gangaraju	Gangaraju	last_author
Gao	Gao	first_author
Gao2017thyroid	Gao2017thyroid	paper_name
Gao2018jmjd6	Gao2018jmjd6	paper_name
Garcia-Bassets	Garcia-Bassets	last_author
Gardini	Gardini	first_author
Gardini	Gardini	last_author
Gardini2014integrator	Gardini2014integrator	paper_name
Gerber	Gerber	last_author
German shepherd	German shepherd	strain
Gibson	Gibson	first_author
Gibson2016chemical	Gibson2016chemical	paper_name
Glass	Glass	last_author
Godfrey	Godfrey	first_author
Godfrey2017mll	Godfrey2017mll	paper_name
Greenberg	Greenberg	last_author
Greene	Greene	last_author
Grimson	Grimson	last_author
Grishok	Grishok	last_author
Gsk3 -/-	Gsk3 -/-	genotype
Guan	Guan	first_author
Guan2018diet	Guan2018diet	paper_name
Guertin	Guertin	last_author
H sapiens	H. sapiens	organism
H. sapiens	H. sapiens	organism
H. sapiens	H. sapiens	spikein
H2B G53D	H2B G53D	genotype
HAEC	HAEC	cell_type
HAP-1	HAP1	cell_type
HAP1	HAP1	cell_type
HASM	HASM	cell_type
HCC-1806	HCC1806	cell_type
HCC-1937	HCC1937	cell_type
HCC-1954	HCC1954	cell_type
HCC1806	HCC1806	cell_type
HCC1937	HCC1937	cell_type
HCC1954	HCC1954	cell_type
HCEC	HCEC	cell_type
HCMV strain TB40/E	HCMV strain TB40/E	treatment
HCMV strain TB40/E IE2	HCMV strain TB40/E IE2	treatment
HCMV strain TB40/E IE2F	HCMV strain TB40/E IE2F	treatment
HCMV strain Towne BAC	HCMV strain Towne BAC	treatment
HCMV strain Towne IE2 BAC	HCMV strain Towne IE2 BAC	treatment
HCMV strain Towne IE2F BAC	HCMV strain Towne IE2F BAC	treatment
HCMV strain Towne varS	HCMV strain Towne varS	treatment
HCT 116	HCT116	cell_type
HCT-116	HCT116	cell_type
HCT116	HCT116	cell_type
HDAC3 +/+; Alb-Cre	HDAC3 +/+; Alb-Cre	genotype
HDAC3 fl/-; Alb-Cre	HDAC3 fl/-; Alb-Cre	genotype
HDAC3 inhibitor RGFP966	RGFP966	treatment
HEK-293	HEK293	cell_type
HEK-293 Flp-in	HEK293 Flp-in	cell_type
HEK-293-T	HEK293T	cell_type
HEK-293-T Flp-in	HEK293T Flp-in	cell_type
HEK-293T	HEK293T	cell_type
HEK-293T Flp-in	HEK293T Flp-in	cell_type
HEK293	HEK293	cell_type
HEK293 Flp in	HEK293 Flp-in	cell_type
HEK293 Flp-In	HEK293 Flp-In	cell_type
HEK293 Flpin	HEK293 Flp-in	cell_type
HEK293-T	HEK293T	cell_type
HEK293-T Flp-in	HEK293T Flp-in	cell_type
HEK293T	HEK293T	cell_type
HEK293T Flp in	HEK293T Flp-in	cell_type
HEK293T Flp-In	HEK293T Flp-In	cell_type
HEK293T Flpin	HEK293T Flp-in	cell_type
HEp-2	HEp2	cell_type
HEp2	HEp2	cell_type
HF-1	HF1	cell_type
HF1	HF1	cell_type
HFF	foreskin fibroblast	cell_type
HSPC	hematopoietic progenitor cell	cell_type
HSV 1	HSV-1	treatment
HSV-1	HSV-1	treatment
HSV1	HSV-1	treatment
HUVEC	HUVEC	cell_type
HV negative	cell sorting HV-	treatment
HV positive	cell sorting HV+	treatment
HV+	cell sorting HV+	treatment
HV-	cell sorting HV-	treatment
Hah	Hah	first_author
Hah2011rapid	Hah2011rapid	paper_name
Hah2013enhancer	Hah2013enhancer	paper_name
Hah2015inflammation	Hah2015inflammation	paper_name
Hannon	Hannon	last_author
Harman	Harman	first_author
Harman2021invivo	Harman2021invivo	paper_name
Hatakeyama	Hatakeyama	last_author
Hdac3 -/-	Hdac3 -/-	construct
Hdac3 fl/fl	Hdac3 fl/fl	genotype
Hdac3 fl/fl; Myl1-Cre	Hdac3 fl/fl; Myl1-Cre	genotype
